Divisions ,State,Male Pop %,Female Pop %,0-4 %,5-9 %,10-14 %,15-19 %,20-24 %,25-29 %,30-34 %,35-39 %,40-44 %,45-49 %,50-54 %,55-59 %,60-64 %,65-69 %,70-74 %,75-79 %,80-84 %,85+ %,Median Age,Preschool %,Primary - Government %,Primay - Catholic %,Primary - Other %,Secondary - Government %,Secondary - Catholic %,Secondary - Other %,Technical Or further %,University Or tertiary %,Other %,Not Stated Education %,Bachelor Degree+ %,Advanced Diploma And Diploma level %,CertIV %,CertIII %,Year 12 %,Year 11 %,Year 10 %,CertII %,CertI %,Year 9 Or Under %,None %,Not Stated Highest Educational Attainment %,Worked Full Time %,Worked Part Time %,Away From Work %,Unemployed %,Professionals %,Clerical And Administrative Workers %,Technicians And Trade Workers %,Managers %,Community And Personal Service Workers %,Sales Workers %,Labourers %,Machinery Operators And Drivers %,Personal Median Weekly Incomes $,Family Weekly Median Weekly Incomes $,Household Median Weekly Incomes $,Owned Private Dwelling Outright %,Owned Private Dwelling With A Mortgage %,Rented Private Dwelling %,Other Tenure Type %,Tenure Type Not Stated %
Banks,NSW,0.486,0.514,0.061,0.059,0.056,0.061,0.069,0.074,0.074,0.066,0.067,0.065,0.068,0.065,0.055,0.046,0.035,0.029,0.024,0.027,38,0.055,0.179,0.057,0.02,0.134,0.058,0.027,0.061,0.209,0.031,0.168,0.258,0.097,0.023,0.1,0.19,0.03,0.1,0,0,0.081,0.012,0.074,0.594,0.298,0.046,0.062,0.235,0.168,0.126,0.119,0.099,0.096,0.08,0.058,644,1837,1598,0.336,0.319,0.313,0.007,0.025
Barton,NSW,0.496,0.504,0.06,0.053,0.047,0.052,0.079,0.105,0.097,0.075,0.068,0.062,0.06,0.053,0.047,0.04,0.031,0.027,0.022,0.023,38,0.044,0.145,0.048,0.018,0.099,0.048,0.02,0.07,0.25,0.051,0.207,0.294,0.092,0.019,0.075,0.198,0.026,0.076,0,0,0.08,0.019,0.092,0.591,0.296,0.047,0.066,0.244,0.145,0.119,0.115,0.1,0.098,0.1,0.057,637,1730,1601,0.302,0.289,0.372,0.006,0.03
Bennelong,NSW,0.488,0.512,0.06,0.057,0.05,0.057,0.08,0.085,0.085,0.076,0.068,0.064,0.064,0.058,0.051,0.042,0.03,0.025,0.021,0.025,36,0.053,0.169,0.047,0.017,0.111,0.05,0.026,0.066,0.295,0.028,0.139,0.398,0.095,0.019,0.065,0.182,0.023,0.061,0,0,0.051,0.009,0.065,0.614,0.28,0.042,0.064,0.34,0.152,0.098,0.141,0.083,0.086,0.054,0.028,724,2104,1817,0.306,0.302,0.361,0.01,0.022
Berowra,NSW,0.491,0.509,0.053,0.069,0.07,0.073,0.061,0.043,0.045,0.059,0.073,0.077,0.076,0.071,0.06,0.054,0.041,0.03,0.02,0.025,41,0.061,0.221,0.041,0.035,0.147,0.056,0.057,0.05,0.19,0.018,0.125,0.354,0.108,0.022,0.092,0.158,0.031,0.079,0,0,0.049,0.004,0.064,0.598,0.318,0.04,0.044,0.315,0.152,0.103,0.171,0.082,0.085,0.051,0.025,793,2460,2256,0.398,0.417,0.145,0.022,0.019
Blaxlan,NSW,0.51,0.49,0.077,0.071,0.064,0.065,0.081,0.092,0.082,0.068,0.061,0.059,0.059,0.056,0.046,0.038,0.027,0.021,0.016,0.019,32,0.045,0.152,0.05,0.048,0.126,0.042,0.033,0.066,0.177,0.042,0.219,0.173,0.08,0.016,0.085,0.228,0.037,0.105,0.001,0,0.109,0.038,0.099,0.544,0.3,0.054,0.102,0.161,0.132,0.161,0.082,0.107,0.098,0.132,0.095,462,1285,1222,0.279,0.285,0.392,0.006,0.038
Bradfield,NSW,0.48,0.52,0.056,0.071,0.071,0.071,0.057,0.048,0.058,0.067,0.073,0.077,0.071,0.06,0.05,0.046,0.038,0.03,0.024,0.032,40,0.06,0.195,0.033,0.062,0.093,0.044,0.117,0.043,0.204,0.023,0.128,0.472,0.095,0.013,0.04,0.163,0.023,0.051,0,0,0.039,0.004,0.063,0.605,0.307,0.038,0.05,0.388,0.132,0.061,0.192,0.077,0.082,0.036,0.015,893,2706,2341,0.376,0.353,0.242,0.011,0.018
Calare,NSW,0.5,0.5,0.065,0.069,0.065,0.064,0.058,0.059,0.058,0.056,0.062,0.065,0.066,0.067,0.061,0.06,0.047,0.033,0.024,0.022,40,0.055,0.18,0.065,0.02,0.118,0.049,0.031,0.067,0.088,0.013,0.314,0.137,0.076,0.035,0.162,0.111,0.036,0.156,0.001,0,0.108,0.003,0.144,0.579,0.302,0.055,0.63,0.17,0.12,0.152,0.133,0.117,0.09,0.115,0.086,607,1531,1207,0.358,0.321,0.282,0.007,0.032
Chifley ,NSW,0.494,0.506,0.079,0.079,0.071,0.073,0.073,0.073,0.079,0.072,0.066,0.063,0.06,0.056,0.047,0.04,0.027,0.018,0.012,0.012,33,0.051,0.198,0.063,0.034,0.129,0.07,0.027,0.065,0.13,0.028,0.204,0.178,0.079,0.027,0.108,0.185,0.04,0.137,0.001,0,0.104,0.013,0.095,0.613,0.25,0.051,0.086,0.15,0.159,0.129,0.073,0.107,0.092,0.126,0.143,596,1575,1477,0.216,0.375,0.37,0.007,0.031
Cook,NSW,0.485,0.515,0.059,0.061,0.059,0.057,0.055,0.06,0.063,0.064,0.071,0.071,0.067,0.065,0.057,0.052,0.043,0.033,0.027,0.033,41,0.065,0.199,0.067,0.019,0.129,0.066,0.032,0.058,0.151,0.021,0.193,0.233,0.113,0.029,0.131,0.158,0.029,0.108,0,0,0.066,0.005,0.085,0.616,0.298,0.048,0.038,0.237,0.164,0.126,0.158,0.101,0.1,0.055,0.041,812,2215,1805,0.38,0.331,0.257,0.008,0.024
Cowper,NSW,0.484,0.516,0.051,0.061,0.06,0.057,0.045,0.046,0.047,0.048,0.057,0.061,0.068,0.076,0.074,0.075,0.06,0.046,0.032,0.035,47,0.06,0.169,0.062,0.039,0.112,0.061,0.037,0.07,0.071,0.018,0.299,0.133,0.085,0.035,0.161,0.108,0.039,0.156,0.002,0,0.111,0.003,0.133,0.501,0.369,0.055,0.075,0.19,0.125,0.138,0.115,0.133,0.107,0.119,0.055,526,1257,1000,0.397,0.261,0.296,0.014,0.031
